"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"unknown","Wed May 31 21:05:21 GMT 2023","Wed May 31 21:05:21 GMT 2023","0","smoke.tests","Smoke tests","com.demo.testframework.LoginTest","com.demo.testframework.LoginTest","testCase_loginSystemTestStage","testCase_loginSystemTestStage","Login to system"
"passed","Wed May 31 21:05:22 GMT 2023","Wed May 31 21:05:22 GMT 2023","51","smoke.tests","Smoke tests","com.demo.testframework.LoginTest","com.demo.testframework.LoginTest","testCase_loginSystemTestProd","testCase_loginSystemTestProd","Navigate to main page"
"passed","Wed May 31 21:05:22 GMT 2023","Wed May 31 21:05:22 GMT 2023","3","smoke.tests","Smoke tests","com.demo.testframework.LoginTest","com.demo.testframework.LoginTest","testCase_loginSystemTestUAT","testCase_loginSystemTestUAT","Navigate to main page"
