"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"unknown","Wed May 31 21:23:47 GMT 2023","Wed May 31 21:23:47 GMT 2023","0","smoke.tests","Smoke tests","com.demo.testframework.LoginTest","com.demo.testframework.LoginTest","testCase_loginSystemTestStage","testCase_loginSystemTestStage","Login to system"
"passed","Wed May 31 21:23:47 GMT 2023","Wed May 31 21:23:47 GMT 2023","20","smoke.tests","Smoke tests","com.demo.testframework.LoginTest","com.demo.testframework.LoginTest","testCase_loginSyostemTestProd","testCase_loginSyostemTestProd","Navigate to main page"
"passed","Wed May 31 21:23:47 GMT 2023","Wed May 31 21:23:47 GMT 2023","0","smoke.tests","Smoke tests","com.demo.testframework.LoginTest","com.demo.testframework.LoginTest","testCase_loginSystemTestUAT","testCase_loginSystemTestUAT","Navigate to main page"
"passed","Wed May 31 21:23:47 GMT 2023","Wed May 31 21:23:47 GMT 2023","1","smoke.tests","Smoke tests","com.demo.testframework.LoginTest","com.demo.testframework.LoginTest","testCase_loginSystemTestFFF","testCase_loginSystemTestFFF","Navigate to main page"
