"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 31 21:58:32 GMT 2023","Wed May 31 21:58:32 GMT 2023","2","smoke.tests","Smoke tests","com.demo.testframework.LoginTest","com.demo.testframework.LoginTest","testCase_loginSystemTestUAT","testCase_loginSystemTestUAT","Navigate to main page"
"passed","Wed May 31 21:58:32 GMT 2023","Wed May 31 21:58:32 GMT 2023","22","smoke.tests","Smoke tests","com.demo.testframework.LoginTest","com.demo.testframework.LoginTest","testCase_login9999TestProd","testCase_login9999TestProd","Navigate to main page"
"passed","Wed May 31 21:58:32 GMT 2023","Wed May 31 21:58:32 GMT 2023","6","smoke.tests","Smoke tests","com.demo.testframework.LoginTest","com.demo.testframework.LoginTest","testCase_loginSystemTestFFF","testCase_loginSystemTestFFF","Navigate to main page"
"unknown","Wed May 31 21:58:31 GMT 2023","Wed May 31 21:58:31 GMT 2023","0","smoke.tests","Smoke tests","com.demo.testframework.LoginTest","com.demo.testframework.LoginTest","testCase_loginSystemTestStage","testCase_loginSystemTestStage","Login to system"
