"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 31 12:55:12 GMT 2023","Wed May 31 12:55:12 GMT 2023","7","Surefire suite","Surefire test","my.company.SimpleTest","my.company.SimpleTest","simpleTestTwo","simpleTestTwo",""
"passed","Wed May 31 12:55:12 GMT 2023","Wed May 31 12:55:12 GMT 2023","13","Surefire suite","Surefire test","my.company.SimpleTest","my.company.SimpleTest","simpleTestOne","simpleTestOne",""
